Health: 184.000000, Speed: 0.200000, Firerate: 2.975903
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 186.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 186.000000, Speed: 0.200000, Firerate: 3.095386
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.207729, Firerate: 3.126939
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.207729, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.019312
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.223888, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 187.000000, Speed: 0.200000, Firerate: 3.295770
Health: 186.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.272079
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 184.000000, Speed: 0.200000, Firerate: 3.295770
Health: 185.000000, Speed: 0.200000, Firerate: 3.278103
Health: 185.000000, Speed: 0.200000, Firerate: 3.488314
Health: 187.000000, Speed: 0.215694, Firerate: 3.295770
